column_name,dataset_id,version,run_id,table_name,label,data_type,is_required,is_key,allow_na,value_min,value_max,allowed_values,allowed_values_label,units,omop_domain_id,is_omop_concept_id,notes,n_missing,pct_missing,observed_min,observed_max,example_values
period_label,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Etiqueta del periodo (p.ej. 1995-2000),character,TRUE,FALSE,TRUE,,,,,,metadata,FALSE,,0,0,,,1995-2000|2000-2005|2005-2010|2010-2015|2015-2020
period_start_year,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Año inicial del periodo,integer,TRUE,TRUE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,1995,2025,1995|2000|2005|2010|2015
period_end_year,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Año final del periodo,integer,TRUE,TRUE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2000,2030,2000|2005|2010|2015|2020
location_id,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Ubicación (UBIGEO depto),integer,TRUE,TRUE,FALSE,0,25,,0=Peru; 1=Amazonas; 2=Ancash; 3=Apurimac; 4=Arequipa; 5=Ayacucho; 6=Cajamarca; 7=Provincia Constitucional del Callao; 8=Cusco; 9=Huancavelica; 10=Huanuco; 11=Ica; 12=Junin; 13=La Libertad; 14=Lambayeque; 15=Lima; 16=Loreto; 17=Madre de Dios; 18=Moquegua; 19=Pasco; 20=Piura; 21=Puno; 22=San Martin; 23=Tacna; 24=Tumbes; 25=Ucayali,,observation,FALSE,,0,0,1,25,1|2|3|4|5
location_name,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Nombre del departamento,character,TRUE,FALSE,TRUE,,,,,,observation,FALSE,,0,0,,,AMAZONAS|ÁNCASH|APURÍMAC|AREQUIPA|AYACUCHO
sex_id,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Sexo (concept id),integer,TRUE,TRUE,FALSE,,,8507|8532,8507=Male; 8532=Female,,person,TRUE,,0,0,8507,8532,8507|8532
sex_source_value,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Sexo (valor fuente),character,TRUE,FALSE,TRUE,,,,,,person,FALSE,,0,0,,,Hombre|Mujer
life_table_label,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Descripción de la tabla de vida,character,TRUE,TRUE,TRUE,,,,,,metadata,FALSE,,0,0,,,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000|TABLAS ABREVIADAS DE MORTALIDAD
2000-2005|TABLAS ABREVIADAS DE MORTALIDAD
2005-2010|TABLAS ABREVIADAS DE MORTALIDAD
2010-2015|TABLAS ABREVIADAS DE MORTALIDAD
2015-2020"
age_start,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Edad al inicio del intervalo,integer,TRUE,TRUE,FALSE,0,130,,,years,observation,FALSE,,0,0,0,100,0|1|5|10|15
age_interval_width,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Amplitud del intervalo de edad,integer,TRUE,FALSE,TRUE,1,10,,,years,observation,FALSE,,350,4.5455,1,5,1|4|5
mx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,"Tasa central de mortalidad m(x,n)",numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,0,0.579,0.044|0.003|0.001|0.002|0.004
qx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,"Probabilidad de morir q(x,n)",numeric,TRUE,FALSE,FALSE,0,1,,,,measurement,FALSE,,0,0,0.001,1,0.042|0.013|0.006|0.004|0.009
px_5y,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,"Probabilidad de sobrevivir P(x,x+5)",numeric,TRUE,FALSE,TRUE,0,1,,,,measurement,FALSE,,0,0,0,0.999,0.953|0.989|0.995|0.994|0.984
lx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Sobrevivientes al inicio l(x),numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,51,1e+05,1e+05|95807|94545|94006|93661
dx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,"Defunciones d(x,n)",numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,51,20463,4193|1262|539|345|795
Lx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,"Personas-año L(x,n)",numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,94,495737,96490|380105|471377|469166|466533
Tx,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Personas-año acumuladas T(x),numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,94,8344797,6575903|6479413|6099308|5627931|5158765
ex,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Esperanza de vida e(x),numeric,TRUE,FALSE,FALSE,0,,,,years,measurement,FALSE,,0,0,1.7,83.4,65.8|67.6|64.5|59.9|55.1
META:age_definition,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Definición de edad,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,Edad al inicio del intervalo (x).,,,,,
META:year_definition,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Definición de año,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,"Periodo quinquenal (period_start_year, period_end_year).",,,,,
META:population_units,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Unidades de población,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,,,,,,
META:location_definition,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Definición de ubicación,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,UBIGEO departamento (00=Perú; 01–25=departamento).,,,,,
META:extrapolation_method,life_table_mortality_peru_quinquenal,v1.0.0,,life_table_mortality_result,Método de extrapolación,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,,,,,,
