section,location_id,location_name,metric,scale_mode,pdf_file
script03A_shape,13,LA LIBERTAD,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,14,LAMBAYEQUE,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,14,LAMBAYEQUE,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,15,DEPARTAMENTO DE LIMA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,15,DEPARTAMENTO DE LIMA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,16,LORETO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,16,LORETO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,17,MADRE DE DIOS,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,17,MADRE DE DIOS,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,18,MOQUEGUA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,18,MOQUEGUA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,19,PASCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,19,PASCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,20,PIURA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,20,PIURA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,21,PUNO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,21,PUNO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,22,SAN MARTÍN,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,22,SAN MARTÍN,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,23,TACNA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,23,TACNA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,24,TUMBES,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,24,TUMBES,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,25,UCAYALI,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03A_shape,25,UCAYALI,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03A_qx_shape_single_age_vs_annual_equivalent.pdf
script03B_reagg,1,AMAZONAS,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,1,AMAZONAS,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,2,ÁNCASH,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,2,ÁNCASH,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,3,APURÍMAC,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,3,APURÍMAC,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,4,AREQUIPA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,4,AREQUIPA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,5,AYACUCHO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,5,AYACUCHO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,6,CAJAMARCA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,6,CAJAMARCA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,7,PROV. CONST. DEL CALLAO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,7,PROV. CONST. DEL CALLAO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,8,CUSCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,8,CUSCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,9,HUANCAVELICA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,9,HUANCAVELICA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,10,HUÁNUCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,10,HUÁNUCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,11,ICA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,11,ICA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,12,JUNÍN,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,12,JUNÍN,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,13,LA LIBERTAD,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,13,LA LIBERTAD,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,14,LAMBAYEQUE,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,14,LAMBAYEQUE,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,15,DEPARTAMENTO DE LIMA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,15,DEPARTAMENTO DE LIMA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,16,LORETO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,16,LORETO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,17,MADRE DE DIOS,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,17,MADRE DE DIOS,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,18,MOQUEGUA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,18,MOQUEGUA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,19,PASCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,19,PASCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,20,PIURA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,20,PIURA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,21,PUNO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,21,PUNO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,22,SAN MARTÍN,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,22,SAN MARTÍN,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,23,TACNA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,23,TACNA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,24,TUMBES,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,24,TUMBES,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,25,UCAYALI,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
script03B_reagg,25,UCAYALI,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script03B_qx_reaggregated_vs_abridged.pdf
